scenario,seed,target_id,target_type,spawn_time,detection_time,detection_delay,assigned_uav,assignment_time,tracking_start,tracking_end,tracking_duration,loss_events,reacq_events,handover_events,localization_errors,avg_loc_error,tracking_accuracy,final_status,state_changes
Dynamic Only,42,1,dynamic,0.2,47.70000000000041,47.500000000000405,8,47.70000000000041,47.80000000000041,55.80000000000052,8.000000000000114,0,0,0,0.0000,0.0,0.9411764705882353,completed,0
Dynamic Only,42,2,dynamic,0.2,58.60000000000056,58.40000000000056,2,58.60000000000056,58.700000000000564,67.80000000000042,9.09999999999986,0,0,0,0.0000,0.0,0.8823529411764706,completed,0
Dynamic Only,42,3,dynamic,0.2,12.499999999999972,12.299999999999972,3,12.499999999999972,12.599999999999971,20.600000000000023,8.000000000000052,0,0,0,0.0000,0.0,1.0,completed,0
Dynamic Only,42,4,dynamic,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Dynamic Only,42,5,dynamic,0.2,57.300000000000544,57.10000000000054,1,57.300000000000544,57.400000000000546,65.40000000000056,8.000000000000014,0,0,0,0.0000,0.0,1.0,completed,0
Dynamic Only,42,6,dynamic,0.2,14.099999999999966,13.899999999999967,7,14.099999999999966,14.199999999999966,22.200000000000045,8.00000000000008,0,0,1,0.0000,0.0,0.8125,completed,0
Dynamic Only,42,7,dynamic,0.2,0.2,0.0,6,0.2,0.30000000000000004,8.399999999999986,8.099999999999987,0,0,1,0.0000,0.0,0.6666666666666666,completed,0
Dynamic Only,73,0,dynamic,0.2,4.100000000000001,3.9000000000000012,7,4.100000000000001,4.200000000000001,17.099999999999973,12.899999999999972,1,1,0,0.0000,0.0,0.3181818181818182,completed,0
Dynamic Only,73,1,dynamic,0.2,21.00000000000003,20.80000000000003,6,21.00000000000003,21.10000000000003,29.100000000000144,8.000000000000114,0,0,0,0.0000,0.0,0.5294117647058824,completed,0
Dynamic Only,73,2,dynamic,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Dynamic Only,73,3,dynamic,0.2,2.9000000000000012,2.700000000000001,3,2.9000000000000012,3.0000000000000013,11.099999999999977,8.099999999999975,0,0,0,0.0000,0.0,1.0,completed,0
